iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,death_rate
AFG,Asia,Afghanistan,2020-04-12,555.0,34.0,36.571,18.0,3.0,1.571,13.932,0.854,0.918,0.452,0.075,0.039,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.26,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,,0.032432432432432434
AFG,Asia,Afghanistan,2020-04-13,607.0,52.0,38.571,19.0,1.0,1.714,15.238,1.305,0.968,0.477,0.025,0.043,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.26,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,,0.03130148270181219
AFG,Asia,Afghanistan,2020-04-14,665.0,58.0,42.571,22.0,3.0,1.571,16.694,1.456,1.069,0.552,0.075,0.039,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.26,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,,0.03308270676691729
AFG,Asia,Afghanistan,2020-04-15,770.0,105.0,49.571,25.0,3.0,1.571,19.33,2.636,1.244,0.628,0.075,0.039,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.26,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,,0.032467532467532464
AFG,Asia,Afghanistan,2020-04-16,794.0,24.0,50.0,29.0,4.0,2.0,19.932,0.602,1.255,0.728,0.1,0.05,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.26,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,,0.036523929471032744
AFG,Asia,Afghanistan,2020-04-17,845.0,51.0,46.286,30.0,1.0,2.143,21.212,1.28,1.162,0.753,0.025,0.054,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.26,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,,0.03550295857988166
AFG,Asia,Afghanistan,2020-04-18,908.0,63.0,55.286,30.0,0.0,2.143,22.794,1.582,1.388,0.753,0.0,0.054,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.26,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,,0.03303964757709251
AFG,Asia,Afghanistan,2020-04-19,933.0,25.0,54.0,30.0,0.0,1.714,23.421,0.628,1.356,0.753,0.0,0.043,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.26,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,,0.03215434083601286
AFG,Asia,Afghanistan,2020-04-20,996.0,63.0,55.571,33.0,3.0,2.0,25.003,1.582,1.395,0.828,0.075,0.05,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.26,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,,0.03313253012048193
AFG,Asia,Afghanistan,2020-04-21,1026.0,30.0,51.571,36.0,3.0,2.0,25.756,0.753,1.295,0.904,0.075,0.05,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.26,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,,0.03508771929824561
